date	topic	tweets	users	pos_tweets	neg_tweets	nrl_tweets	pos_users	neg_users	nrl_users	pos_summary	neg_summary	nrl_summary	category	average_users	average_pos_tweets	average_neg_tweets	average_nrl_tweets	average_pos_users	average_neg_users	average_nrl_users	average_tweets
20170526	0-hours	0.16	0.18	0.0	87.5	12.5	0.0	87.5	12.5	<NONSENSESUMMARYTAG></NONSENSESUMMARYTAG>	<NONSENSESUMMARYTAG>RT @bcbradio: Labour leader Jeremy Corbyn confirms nationalisation of railways, end of zero hours contracts and a tough stance on… </NONSENSESUMMARYTAG>	<NONSENSESUMMARYTAG>RT @SocialistVoice: Employees in full-time jobs worse off than those on zero-hours contracts #GE2017 https://t.co/52S4SOnnsA</NONSENSESUMMARYTAG>	Public Spending	319.03846153846155	0.0	329.0	11.269230769230768	0.0	309.3076923076923	11.0	340.26923076923083
20170526	a&e	23.23	20.64	0.0	83.69	16.31	0.0	83.74	18.7	<NONSENSESUMMARYTAG></NONSENSESUMMARYTAG>	"<NONSENSESUMMARYTAG>RT @mac123_m: In their quest to destroy the NHS the Tories are planning to close 24 A&amp;E units.  The NHS is not safe in the Tories… </NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @ChaabanRabih: Jeremy Corbyn: 'Austerity has to stop at the A&amp;E ward &amp; at the police station door. We cannot be protected &amp; cared… </NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>The real reason @Jeremy_Hunt scrapped the 4hr A&amp;E Waiting Times #ToriesOut #NHS #HealTheNHS #GE2017 https://t.co/rrFApbzltP</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>Corbyn speaking now: ""Austerity must stop at the accident and emergency ward and the police station door"" #VoteLabour #GE2017 #JC4PM</NONSENSESUMMARYTAG>"	<NONSENSESUMMARYTAG>RT @SocialistVoice: A&amp;E waits of over 12 hours have soared 6,831% since the Tories came to power in 2010 #GE2017 https://t.co/5oiqBxLOWF</NONSENSESUMMARYTAG>	NHS	166.88461538461542	0.0	163.03846153846158	8.884615384615385	0.0	158.80769230769232	8.576923076923077	171.8076923076923
20170526	a-level	0.54	0.54	0.0	100.0	0.0	0.0	100.0	0.0	<NONSENSESUMMARYTAG></NONSENSESUMMARYTAG>	<NONSENSESUMMARYTAG>RT @SuckMyLEFTJuan: #LABOUR'S YOUNGEST CANDIDATE IS TRYING TO OUST #LIBDEM LEADER  Just weeks from sitting his A-level exams,... https://t.…</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>The latest A Level Government &amp; Politics! https://t.co/tPR3eabGYt Thanks to @Shannon_Mack_ @ElanaBrown @gregoryc55 #ge2017 #news</NONSENSESUMMARYTAG>	<NONSENSESUMMARYTAG></NONSENSESUMMARYTAG>	Education	58.769230769230774	0.0	41.03846153846154	18.846153846153847	0.0	40.07692307692308	18.80769230769231	59.884615384615394
20170526	afghanistan	73.33	64.44	0.0	100.0	0.0	0.0	100.0	0.0	<NONSENSESUMMARYTAG></NONSENSESUMMARYTAG>	<NONSENSESUMMARYTAG>RT @feeIingmyoats: Our enemies, including jihadists in Libya &amp; Syria? Apartheid S.A? Mujahideen in Afghanistan? oh wait, that's you https:/…</NONSENSESUMMARYTAG>	<NONSENSESUMMARYTAG></NONSENSESUMMARYTAG>	Defence	10.0	0.0	10.0	0.38461538461538464	0.0	9.615384615384617	0.38461538461538464	10.384615384615383
20170526	aircraft	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	<NONSENSESUMMARYTAG></NONSENSESUMMARYTAG>	<NONSENSESUMMARYTAG></NONSENSESUMMARYTAG>	<NONSENSESUMMARYTAG></NONSENSESUMMARYTAG>	Defence	10.769230769230768	0.0	10.076923076923077	0.9230769230769232	0.0	9.884615384615383	0.8846153846153846	11.0
20170526	army	59.64	55.26	5.62	49.46	45.36	6.01	49.94	49.31	<NONSENSESUMMARYTAG>#andrewneilinterview UK can't launch Trident without US it's fur coat and no nickers We need more funds for more Army + equipment #GE2017</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @brexit_sham: #GE2017 MI5 bosses, US intel &amp; UK Commons foreign affairs committee all agree ill-conceived military intervention l… </NONSENSESUMMARYTAG>	<NONSENSESUMMARYTAG>RT @ChaabanRabih: Jeremy Corbyn:'Seeing the army on our own streets is a stark reminder that the current approach has failed' #GE2017  http…</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>@ToryFibs @mrplannings If #remainers knew #Tories have been working to unify an #EU army @Conservatives would clean… https://t.co/YpAXb7CQ1P</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @SocialistVoice: How dare the Tories condemn Jeremy Corbyn's speech on terror when their cuts to Police &amp; Army have put Britain at r… </NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>@Conservatives Is it true your cutting #British army to facilitate #EU army whose headquarters are RAF st mawgan?… https://t.co/bBE2nOKA40</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @AKA_Porlek: @Kevin_Maguire Chairman May turning UK into China. Govt controlled internet, military on the streets, highly contro… </NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>@Nigel_Farage @SteveBlogs1 Nigel, David Ellis alledged you wouldn't talk to him over the British military secretly… https://t.co/1YIzVHzCY7</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>Rubbish ! why did Police request Military help From your lips Amber Rudd #bbcqt last night</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>I enjoy the apolitical nature that military service, rightly, requires. Other times I write draft tweets and delete them #GE2017</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>If May gets in as PM- NHS Fucked If Corbyn gets in as PM- Armed Forces Fucked.   #NoWinSituation #GeneralElection2017</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @mac123_m: Tory -Dementia Tax -22k less police -30k less armed forces -Repeal fox hunting ban -1.2m zero hrs -Lowest home buil… </NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @John_Bull_GB: @BBCNews @jeremycorbyn @BWallaceMP Showing his true anti - #British credentials! • Anti police  • Anti armed forces… </NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>Mercer. -20k police -&gt;35 armed forces ARE serious impacts on effectiveness #bbcdp . Btw, the 2008/9 Labour Govt did not cause the Econ Crash</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @Mysterymoon6: This is Kirsten Kirsten stands up for the Armed Forces &amp; Vets, &amp; wants a better future for Scotland Be like Kirsten… </NONSENSESUMMARYTAG>	<NONSENSESUMMARYTAG>RT @evertonfc2: Do we now expect the Army to Empty our Bins  Teach our Children  Run our NHS  Put out Fires Where does it stop?… </NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @DVATW: Army on the streets. How about army in the Mosques and the Muslim ghettos? #bbcqt</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @weRcorbyn: Quite right spend money on Health Social care Education upgrade the Army Navy RAF &amp; Police invest in Cyber protecti… </NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @saramo: GE17: The War on Terrorism isn't working. Seeing the Army on our streets today is a stark reminder that our approach isn't real…</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @JEGullis: Corbyn can't be trusted to defend our country in 2012 he spoke about copying Costa Rica and abolishing our army! Vote @Conser…</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @EtonOldBoys: The Tories sack 22,000 Police Officers in 6 years creating chaos , thats why we have the Army on the streets… </NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @EtonOldBoys: Tory cuts 20,000 Army, 5,000 Navy, 5,000 RAF, 22,000 Police, 10,000 Firemen Tories have put this country in grave d… </NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @GerryHassan: Corbyn has done UK politics &amp; #GE2017 a service by talking abt the failed war on terror &amp; failed UK military interventions…</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @DanWei55: @Conservatives You cut military spending and you jeopardise the economy with you hard #brexit bollocks! #GE2017</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @john70297834: Coming home to roost @theresa_may just like NHS, Social Care, Border Control, Military Services, Fire Service, Scho… </NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>@bbcnews @skynews @itvnews #GE17 #bbcqt #VictoriaLIVE #Brexit #qtspecial   Tories cuts means less Police, Broader Controls, Armed forces</NONSENSESUMMARYTAG>	Defence	478.0384615384616	5.1923076923076925	258.0	253.11538461538458	5.038461538461538	244.8076923076923	241.9230769230769	514.8076923076924
20170526	assault	3.0	3.0	0.0	33.33	66.67	0.0	33.33	66.67	<NONSENSESUMMARYTAG></NONSENSESUMMARYTAG>	<NONSENSESUMMARYTAG>RT @bluehand007: Remember when we had harassment.. assault and threatening behavior laws? why do we need so called *Hate Crime* #BBCQT #Blu…</NONSENSESUMMARYTAG>	<NONSENSESUMMARYTAG>RT @bluehand007: Remember when we had harassment.. assault and threatening behavior laws? why do we need so called *Hate Crime* #BBCQT #Blu…</NONSENSESUMMARYTAG>	Crime	25.115384615384613	0.0	19.19230769230769	6.307692307692308	0.0	18.923076923076927	6.230769230769232	25.5
20170526	asylum	5.45	5.66	0.0	100.0	0.0	0.0	100.0	0.0	<NONSENSESUMMARYTAG></NONSENSESUMMARYTAG>	<NONSENSESUMMARYTAG>Bravo hen!  Close down all Saudi financed mosques. That's step 3,  Step 1 deport failed asylum seekers and known sy… https://t.co/ALPzq1Rsqr</NONSENSESUMMARYTAG>	<NONSENSESUMMARYTAG></NONSENSESUMMARYTAG>	EU and Immigration	21.884615384615387	0.0	12.576923076923075	10.5	0.0	12.192307692307693	10.0	23.07692307692308
20170526	austerity	17.22	16.51	0.0	67.82	32.18	0.0	69.54	35.4	<NONSENSESUMMARYTAG></NONSENSESUMMARYTAG>	"<NONSENSESUMMARYTAG>According to IFS @Conservatives mean more austerity. @UKLabour mean higher taxes. Neither honest #vote2017 #GE2017  https://t.co/KCvJAcciN4</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @Harryslaststand: Good rule of thumb is if a govt puts 4 million kids into poverty b/c of austerity that never targets wealth they don't…</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @RobertsonPaulC: .@TheIFS summary of the Tory manifesto - ""big cuts in welfare spending &amp; another parliament of austerity for public ser…</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @StrongerStabler: Offers no solutions to impact of austerity,penny pinches from middle class/poor &amp; yet again gives to the rich… </NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @BBUKMIKE: Heaven forbid Jeremy corbyn Just wants a country at peace, austerity to end and start taxing people who don't pay there fair…</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @Harryslaststand: One thing I know is #Theresamay didn't make the lives of 4 million kids pushed into poverty b/c of her govt austerity…</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @ChaabanRabih: Jeremy Corbyn: 'Austerity has to stop at the A&amp;E ward &amp; at the police station door. We cannot be protected &amp; cared… </NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>#andrewneilinterviews Why don't these rich commentators understand austerity's gone too far. Vital public services cut to the bone! #GE2017</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @Mysterymoon6: This is Miriam. Miriam is moral, fighting Tory austerity, &amp; wants a better future for Scotland. Be like Miriam.  Vo… </NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>UPDATE: PISHED SENIOR MOMENT ALERT!  Labour abstained on Tory austerity vote forcing #ScotGov to mitigate Tory cuts… https://t.co/2WKgSbTJMP</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>""Conservatives wd preside over more spending cuts and modest increase in tax burden."" NHS funding ""incredibly challenging"" @TheIFS #ge2017</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @Woodcote249: Savage cuts to police personnel one of the many reasons why Teresa May isn't fit to be PM #ge2017 https://t.co/53g1J3QESq</NONSENSESUMMARYTAG>"	"<NONSENSESUMMARYTAG>RT @seicilop: The ""Austerity"" we've had is just discredited trickledown economics repackaged. The Rich/Multinationals got tax cut… </NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @SocialistVoice: Devastating report warns Tories risk 'serious damage' to public services and another decade of austerity #GE2017 https:…</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @MirrorPolitics: 'A fourth parliament of austerity': IFS's devastating verdict on the Tory manifesto in full - #GE2017 live… </NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @marcuschown: Austerity's record: UK debt almost tripled. Productivity 17% less than projected in 2008. Rich doubled wealth. Untold mise…</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @StrongerStabler: Austerity has left the Police Force in a perilous state. 20% budget cuts. 35k fewer staff, 20k fewer officers since… </NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @UKIPNFKN: Will you be voting for lower wages and more austerity on Thursday, June 8th? #Brexit #GE2017 #WeakAndWobbly https://t.co/9xO6…</NONSENSESUMMARYTAG>"	Public Spending	1211.923076923077	0.0	1157.423076923077	218.8076923076923	0.0	1038.6923076923076	202.53846153846158	1375.3846153846155
20170526	balls	3.68	3.79	0.0	84.85	15.15	0.0	84.85	15.15	<NONSENSESUMMARYTAG></NONSENSESUMMARYTAG>	<NONSENSESUMMARYTAG>RT @NorthBelfast79: Corbyn is a man of steel. Takes balls to come out as a politician and admit the war on Iraq was wrong. #VoteLabour  #JC…</NONSENSESUMMARYTAG><NONSENSESUMMARYTAG>RT @IamalrightJack: #bbcqt BBC Bias Exposed! Marr Deceived Viewers &amp; Tricked Balls https://t.co/ozCyzyzbPF  We don't pay the TV licence… </NONSENSESUMMARYTAG>	<NONSENSESUMMARYTAG>RT @IamalrightJack: #bbcqt BBC Bias Exposed! Also, Andrew Marr, Andrew Neil &amp; How The Right Wing Media Tricked Ed Balls https://t.co/MbjMU1…</NONSENSESUMMARYTAG>	Economy	209.23076923076923	0.07692307692307693	72.26923076923076	145.0769230769231	0.07692307692307693	70.26923076923077	140.65384615384616	217.2692307692308
